area;ciudad;zona;sector;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;plan_muestreo;fexp
1;10150;011;002;172;3;1;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;182;1;1;2;2;2;2;3;1;3;1;1;1;3;2;2;1;3;3;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;182;2;1;2;2;2;2;3;1;3;1;1;1;3;2;3;2;3;3;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;182;3;1;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;2;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;232;1;1;2;2;2;2;3;1;3;1;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;232;2;1;3;3;2;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;1012;80,3917498663344
1;10150;011;002;232;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1012;80,3917498663344
1;10150;011;002;242;1;1;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;002;242;2;1;2;2;2;2;3;1;2;1;2;2;3;2;3;3;3;3;2;2;2;2;2;2;3;1012;80,3917498663344
1;10150;011;002;242;3;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;2;2;2;2;1012;80,3917498663344
1;10150;011;007;172;1;1;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;3;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;172;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;172;3;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;1013;235,488788721232
1;10150;011;007;182;1;1;2;1;2;2;2;1;3;1;1;1;3;3;3;2;3;2;2;2;2;2;1;2;2;1013;235,488788721232
1;10150;011;007;182;2;1;3;2;2;2;3;1;3;1;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;182;3;1;2;3;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;232;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;232;2;1;2;2;2;2;3;1;3;1;1;1;3;2;3;2;3;2;2;2;2;2;2;2;2;1013;235,488788721232
1;10150;011;007;232;3;1;2;2;2;2;2;2;2;2;2;2;3;3;3;2;3;3;2;2;2;2;1;2;2;1013;235,488788721232
1;10150;011;007;242;1;1;2;2;2;2;2;2;2;2;1;1;3;3;2;2;2;2;2;2;2;3;2;3;2;1013;235,488788721232
1;10150;011;007;242;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1013;235,488788721232
1;10150;011;007;242;3;1;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;3;2;2;2;2;2;2;1;1013;235,488788721232
1;10150;013;006;172;1;1;2;2;2;3;3;3;3;3;3;3;3;2;2;3;3;3;2;2;2;2;1;2;1;1013;241,04259813579
1;10150;013;006;172;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;241,04259813579
1;10150;013;006;172;3;1;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;1013;241,04259813579
1;10150;013;006;182;1;1;3;3;3;2;2;2;2;3;3;3;3;2;3;2;3;2;2;2;2;2;3;2;2;1013;241,04259813579
1;10150;013;006;182;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;1013;241,04259813579
